Country,Location,lat,lon,Type,Species
Uruguay,Islote de Lobos,-35.016667,-54.866667,breeding,SAFS
Uruguay,Cabo Polonio,-34.35,-53.733333,breeding,SAFS
Argentina,Mar del Plata,-38.1,-57.54972222,haul-out,SAFS
Argentina,Islote Lobos,-41.4,-65.05,haul-out,SAFS
Argentina,Isla Escondida,-43.72166667,-65.28333333,breeding,SAFS
Argentina,Cabo Dos Bahías,-44.92972222,-65.51916667,haul-out,SAFS
Argentina,Isla Arce,-45.00416667,-65.48333333,haul-out,SAFS
Argentina,Isla Rasa,-45.10833333,-65.39166667,breeding,SAFS
Argentina,Cabo Blanco,-47.21666667,-65.73333333,haul-out,SAFS
Argentina,Islote del Cabo,-48.2525,-66.22222222,haul-out,SAFS
Argentina,Islote Les Eclaireurs Oeste,-54.87138889,-68.10361111,haul-out,SAFS
Argentina,Islote Blanco,-55.06111111,-66.54694444,haul-out,SAFS
Argentina,Islets south of Cabo Hall,-54.97694444,-65.69472222,haul-out,SAFS
Argentina,Islote Veleros,-54.92444444,-65.32416667,haul-out,SAFS
Argentina,Is. Barrionuevo (Is. Dampier),-54.85138889,-64.16138889,breeding,SAFS
Argentina,Punta Achával,-54.83777778,-64.18277778,breeding,SAFS
Argentina,Punta Jira,-54.75694444,-63.81416667,breeding,SAFS
Argentina,Punta Leguizamo,-54.72583333,-63.79638889,breeding,SAFS
Argentina,Caleta Ojeda,-54.72361111,-63.80722222,haul-out,SAFS
Argentina,Cabo Furneaux,-54.71888889,-63.89222222,haul-out,SAFS
Argentina,Pta. Dorgambide and Pta. Shank,-54.72777778,-63.93972222,haul-out,SAFS
Argentina,Bahía San Antonio,-40.783,-64.783,breeding,MAG
Argentina, Islote La Pastosa,-41.417,-65.033,breeding,MAG
Argentina, Islote Redondo,-41.433,-65.017,breeding,MAG
Argentina, Islote Pájaros,-41.45,-65.033,breeding,MAG
Argentina,Punta Pozos,-41.567,-65.017,breeding,MAG
Argentina,Islote Notable (IN),-42.417,-64.517,breeding,MAG
Argentina,Ea. San Lorenzo (SL),-42.083,-63.85,breeding,MAG
Argentina, Asentamiento Oeste (AO),-42.1,-63.933,breeding,MAG
Argentina,Caleta Externa (CV),-42.267,-63.633,breeding,MAG
Argentina,Isla Primera (CP),-42.35,-63.617,breeding,MAG
Argentina, Isla Segunda (CS),-42.333,-63.65,breeding,MAG
